2024-04-14 18:10:02,860 - DEBUG - Using selector: KqueueSelector
2024-04-14 18:10:46,934 - DEBUG - ::> Server Health check
2024-04-14 18:11:41,770 - DEBUG - Using selector: KqueueSelector
2024-04-14 18:11:46,983 - DEBUG - Using selector: KqueueSelector
2024-04-14 18:12:12,504 - DEBUG - ::> Server Health check
2024-04-14 18:13:28,886 - DEBUG - Using selector: KqueueSelector
2024-04-14 18:13:47,081 - DEBUG - Using selector: KqueueSelector
2024-04-14 18:13:49,589 - DEBUG - Calling on_part_begin with no data
2024-04-14 18:13:49,589 - DEBUG - Calling on_header_field with data[54:73]
2024-04-14 18:13:49,589 - DEBUG - Calling on_header_value with data[75:101]
2024-04-14 18:13:49,589 - DEBUG - Calling on_header_end with no data
2024-04-14 18:13:49,589 - DEBUG - Calling on_headers_finished with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_part_data with data[105:131]
2024-04-14 18:13:49,590 - DEBUG - Calling on_part_end with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_part_begin with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_header_field with data[187:206]
2024-04-14 18:13:49,590 - DEBUG - Calling on_header_value with data[208:234]
2024-04-14 18:13:49,590 - DEBUG - Calling on_header_end with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_headers_finished with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_part_data with data[238:247]
2024-04-14 18:13:49,590 - DEBUG - Calling on_part_end with no data
2024-04-14 18:13:49,590 - DEBUG - Calling on_end with no data
2024-04-14 18:13:52,254 - INFO - select pg_catalog.version()
2024-04-14 18:13:52,261 - INFO - [raw sql] {}
2024-04-14 18:13:53,062 - INFO - select current_schema()
2024-04-14 18:13:53,063 - INFO - [raw sql] {}
2024-04-14 18:13:53,613 - INFO - show standard_conforming_strings
2024-04-14 18:13:53,614 - INFO - [raw sql] {}
2024-04-14 18:13:54,267 - INFO - BEGIN (implicit)
2024-04-14 18:13:54,270 - INFO - SELECT users.first_name AS users_first_name, users.last_name AS users_last_name, users.email AS users_email, users.is_email_verified AS users_is_email_verified, users.google_id AS users_google_id, users.password AS users_password, users.active AS users_active, users.created_at AS users_created_at, users.updated_at AS users_updated_at, users.id AS users_id 
FROM users 
WHERE users.email = %(email_1)s
2024-04-14 18:13:54,270 - INFO - [generated in 0.00021s] {'email_1': 'onaiwuiyosayi+99@gmail.com'}
2024-04-14 18:13:54,909 - INFO - COMMIT
2024-04-14 18:13:55,481 - INFO - ::>User login success:onaiwuiyosayi+99@gmail.com
2024-04-14 18:14:00,328 - DEBUG - Calling on_part_begin with no data
2024-04-14 18:14:00,328 - DEBUG - Calling on_header_field with data[54:73]
2024-04-14 18:14:00,329 - DEBUG - Calling on_header_value with data[75:101]
2024-04-14 18:14:00,329 - DEBUG - Calling on_header_end with no data
2024-04-14 18:14:00,329 - DEBUG - Calling on_headers_finished with no data
2024-04-14 18:14:00,329 - DEBUG - Calling on_part_data with data[105:131]
2024-04-14 18:14:00,329 - DEBUG - Calling on_part_end with no data
2024-04-14 18:14:00,329 - DEBUG - Calling on_part_begin with no data
2024-04-14 18:14:00,329 - DEBUG - Calling on_header_field with data[187:206]
2024-04-14 18:14:00,329 - DEBUG - Calling on_header_value with data[208:234]
2024-04-14 18:14:00,329 - DEBUG - Calling on_header_end with no data
2024-04-14 18:14:00,329 - DEBUG - Calling on_headers_finished with no data
